keys,es,ru,pt,de,jp,fr,pl
"You're sleepin on this sh*t, half my noggin is gone rn.","Estás durmiendo en esta mierda, ahora mismo tengo la mitad de la cabeza en blanco.","Ты это игнорируешь, у меня уже половина головы отвалилась.","Você está ignorando essa merda, metade do meu cérebro já foi embora.","Du verpasst das total, mir fehlt gerade die Hälfte meines Gehirns.",お前はこれを軽視してるな、俺の頭の半分はもうダメだ。,"Tu passes à côté de quelque chose, j'ai la moitié du cerveau qui a disparu là.","Śpisz na tym gównie, a ja już nie mam połowy głowy."
Phent gives me superpowers.,El fentanilo me da superpoderes.,Фент наделяет меня сверхспособностями.,Phent me dá superpoderes.,Phent verleiht mir Superkräfte.,フェントは私に超能力を与えてくれる。,Phent me donne des superpouvoirs.,Phent daje mi supermoce.
DAMN I love shootin up black tar herobrine.,¡Joder! Me encanta inyectarme heroína de alquitrán negro.,"Чёрт, я обожаю колоться чёрной смолой и травкой.","CARAMBA, eu adoro injetar heroína alcatrão preto.","Verdammt, ich liebe es, mir Herobrin in Schwarzteerform zu spritzen.",くそっ、俺はブラックタールヘロブラインを撃つのが大好きだ。,"PUTAIN, j'adore me shooter à l'Herobrine noire.","KURDE, uwielbiam strzelać sobie z czarnego taru herobrine'a."
Did you k-know vaping is bad for you?,¿Sabías que vapear es malo para ti?,"А вы знали, что вейпинг вреден для здоровья?",Você sabia que vaporizar faz mal à saúde?,"Wusstest du, dass Dampfen schädlich für dich ist?",電子タバコが体に悪いって知っていましたか？,Saviez-vous que vapoter est mauvais pour la santé ?,"Czy wiesz, że wapowanie jest szkodliwe?"
GOD I LOVE MOLLY!!!!,"¡DIOS MÍO, AMO A MOLLY!","Боже, я обожаю Молли!!!!","MEU DEUS, EU AMO A MOLLY!!!!","GOTT, ICH LIEBE MOLLY!!!!",ああ、モリーが大好きだ！！！！,DIEU QUE J'ADORE MOLLY !!!!,"BOŻE, KOCHAM MOLLY!!!!"
"I cant get enough of her, she's so sweet! 😊","¡No me canso de ella, es tan dulce! 😊","Я от неё в полном восторге, она такая милая! 😊","Eu adoro ela, ela é tão fofa! 😊","Ich kann gar nicht genug von ihr bekommen, sie ist so lieb! 😊",彼女のことが大好き！とっても可愛い！😊,"Je l'adore, elle est tellement adorable ! 😊","Nie mogę się nią nacieszyć, jest taka słodka! 😊"
"Hey kid, did ya know Soda Sola used to add sosaine in their drinks?","Oye chico, ¿sabías que Soda Sola solía añadir sosaína a sus bebidas?","Эй, парень, ты знал, что Soda Sola раньше добавляла созаин в свои напитки?","Ei, garoto, você sabia que a Soda Sola costumava adicionar sosaine às suas bebidas?","Hey Kleiner, wusstest du, dass Soda Sola früher Sosaine in ihre Getränke gemischt hat?",なあ、ソーダ・ソーラが昔、飲み物にソサインを入れていたって知ってたか？,"Hé gamin, tu savais que Soda Sola ajoutait de la soude dans ses boissons ?","Hej dzieciaku, wiedziałeś, że Soda Sola dodawała sos do swoich napojów?"
the g-good old days...,Los buenos viejos tiempos...,Старые добрые времена...,Os bons e velhos tempos...,die guten alten Zeiten...,古き良き時代…,les bons vieux jours...,dobre stare czasy...
W-w-what year is it again?,¿Q-q-qué año es?,К-к-какой сейчас год?,Q-q-que ano é este mesmo?,W-w-welches Jahr haben wir denn nochmal?,え、え、えっと、今何年でしたっけ？,C-c-on est en quelle année déjà ?,K-k-który to już rok?
"Hey kid, do ya know where I can find Mary Jane?","Oye chico, ¿sabes dónde puedo encontrar a Mary Jane?","Эй, парень, ты не знаешь, где я могу найти Мэри Джейн?","Ei, garoto, você sabe onde posso encontrar Mary Jane?","Hey Kleiner, weißt du, wo ich Marihuana finden kann?",なあ、坊主、メアリー・ジェーンはどこにいるか知ってるか？,"Hé gamin, tu sais où je peux trouver de la marijuana ?","Hej dzieciaku, wiesz gdzie mogę znaleźć Mary Jane?"
"My girlfriend, Mary, have ya seen her?","¿Has visto a mi novia, Mary?","Моя девушка, Мэри, ты ее видел?","Minha namorada, Mary, você a viu?","Meine Freundin Mary, hast du sie gesehen?",私のガールフレンドのメアリー、彼女を見かけましたか？,"Ma copine, Mary, tu l'as vue ?","Moją dziewczynę, Mary, widziałeś ją?"
"Aw damn, I was gonna try her on tonight if you know what I mean.","Oh, maldita sea, iba a probármela esta noche, si me entiendes.","Черт, я как раз собирался примерить ее сегодня вечером, если ты понимаешь, о чем я.","Puxa, eu ia tentar algo com ela hoje à noite, se é que você me entende.","Verdammt, ich wollte sie heute Abend eigentlich anprobieren, wenn du verstehst, was ich meine.",ああ、くそ、今夜彼女を試してみようと思ってたんだよ、わかるだろ？,"Zut alors, j'allais l'essayer ce soir, si vous voyez ce que je veux dire.","O cholera, miałem zamiar ją dziś wieczorem przymierzyć, jeśli rozumiesz, o co mi chodzi."
HEH!,¡JE!,Хе-хе!,Hehe!,Hehe!,へっ！,Héhé !,HEH!
Is it s-safe to smoke chlorine through a bong pipe?,¿Es seguro fumar cloro a través de una pipa de agua?,Безопасно ли курить хлор через бонг?,É seguro fumar cloro em um bong?,"Ist es sicher, Chlor durch eine Bong zu rauchen?",ボングパイプで塩素を吸うのは安全ですか？,Est-il sans danger de fumer du chlore à l'aide d'une pipe à eau (bong) ?,Czy palenie chloru przez fajkę wodną jest bezpieczne?
Asking for a friend.,Pregunto por un amigo.,Спрашиваю за друга.,Perguntando para um amigo.,Ich frage für einen Freund.,友人のために質問しています。,Je demande pour un ami.,Pytam w imieniu przyjaciela.
NAAAAAHHHH!!!!,¡¡¡NAAAAAHHHH!!!!,НАА ...,NAAAAAHHHH!!!!,NAAAAAHHHH!!!!,いやああああああ！！！！,NAAAAAHHHH!!!!,NAAAAAHHHH!!!!
"I'll do a lot of things but n-not marijuana,","Haré muchas cosas pero no marihuana,","Я буду делать много чего, но только не употреблять марихуану.","Eu faço muitas coisas, mas n-não maconha.","Ich mache viele Dinge, aber kein Marihuana.",私は色々なことをするけど、マリファナはしない。,"Je ferai beaucoup de choses, mais pas de marijuana.","Zrobię wiele rzeczy, ale nie marihuanę,"
smells bad.,Huele mal.,Пахнет плохо.,Cheira mal.,Es riecht schlecht.,悪臭がする。,Ça sent mauvais.,brzydko pachnie.
"b-believe it or not I love bathing,","C-lo creas o no, me encanta bañarme,","Верите или нет, я люблю принимать ванну.","Acredite ou não, eu adoro tomar banho.","Ob Sie es glauben oder nicht, ich liebe Baden.",信じられないかもしれないけど、私はお風呂が大好きなんです。,"Croyez-le ou non, j'adore prendre des bains.","b-wierzcie lub nie, uwielbiam kąpiele,"
bath bombs,bombas de baño,Бомбочки для ванны,bombas de banho,Badebomben,バスボム,bombes de bain,kule do kąpieli
bath salts,sales de baño,соли для ванн,sais de banho,Badesalze,バスソルト,sels de bain,sole do kąpieli
the whole 9 yards.,todo el conjunto.,Всё досконально.,"tudo, até o fim.",das volle Programm.,全てにおいて。,tout le terrain.,całe 9 jardów.
"Just because I like t-t-to get zooted doesn't m-mean I do alcohol,",El hecho de que me guste drogarme no significa que beba alcohol.,"То, что мне нравится напиваться, вовсе не означает, что я употребляю алкоголь.","Só porque eu gosto de ficar chapado não significa que eu bebo álcool,","Nur weil ich gerne high bin, heißt das nicht, dass ich Alkohol trinke.",酔うのが好きだからといって、お酒を飲むという意味ではありません。,Ce n'est pas parce que j'aime me défoncer que je bois de l'alcool.,"To, że lubię się upijać, nie oznacza, że ​​piję alkohol."
except for rubbing alcohol that sh*t's gas.,"Excepto por el alcohol isopropílico, esa mierda es gas.","За исключением медицинского спирта, от которого текут газы.","Exceto o álcool isopropílico, que é puro gás.","Außer Isopropylalkohol, das Zeug ist doch nur Gas.",消毒用アルコールは別だけど、あれは最高だ。,"Sauf l'alcool à friction, c'est de l'essence.",oprócz alkoholu izopropylowego to gówniany gaz.
"I shot ketamine the other day... 68 times to be exact,",Me inyecté ketamina el otro día... 68 veces para ser exactos.,"Я на днях колол кетамин... 68 раз, если быть точным.","Eu injetei ketamina outro dia... 68 vezes, para ser exato.","Ich habe mir neulich Ketamin gespritzt... 68 Mal, um genau zu sein.",先日ケタミンを注射した…正確には68回、,"Je me suis injecté de la kétamine l'autre jour... 68 fois pour être exact,","Ostatnio zastrzyknąłem ketaminę... dokładnie 68 razy,"
He was a good dog...,Era un buen perro...,Он был хорошим псом...,Ele era um bom cachorro...,Er war ein guter Hund...,彼は良い犬だった…,C'était un bon chien...,To był dobry pies...
I'm still smellin shapes dawg HELP ME.,"Todavía huelo formas, amigo. AYÚDAME.","Я всё ещё чувствую запахи, чувак, ПОМОГИ МНЕ.","Ainda estou sentindo o cheiro de formas, cara, ME AJUDE.","Ich rieche immer noch Formen, Mann, HILF MIR.",まだ形がわからないんだ、助けて。,"Je sens encore des formes, mec, AIDEZ-MOI.","Nadal czuję zapach, kolego POMÓŻ MI."
"I w-was dropped as a baby yknow,","Me dejaron caer cuando era un bebé, ¿sabes?","Меня уронили ещё младенцем, понимаете?","Eu fui deixada cair quando era bebê, sabe?","Ich wurde als Baby fallen gelassen, wissen Sie?",赤ちゃんの頃に落とされたんだよ、,"J'ai été lâché quand j'étais bébé, tu sais,","Zostałem porzucony jako dziecko, wiesz?"
and then punted into the ceiling fan.,y luego fue pateado contra el ventilador de techo.,а затем пнул его в потолочный вентилятор.,e então foi chutada em direção ao ventilador de teto.,und dann kickte er den Ball gegen den Deckenventilator.,そして、天井の扇風機に蹴り飛ばした。,puis il a donné un coup de pied dans le ventilateur de plafond.,a następnie rzucony w wentylator sufitowy.
You're real right?,"¿Eres real, verdad?","Ты настоящий, правда?","Você é real, né?","Du bist echt, oder?",あなたは本物ですよね？,"Tu es bien réel, n'est-ce pas ?",Masz rację?
"Yo, y-you got a lighter and a spoon?","Oye, ¿tienes un encendedor y una cuchara?","Эй, у тебя есть зажигалка и ложка?","Ei, você tem um isqueiro e uma colher?","Hey, hast du ein Feuerzeug und einen Löffel?",おい、ライターとスプーン持ってるか？,"Yo, t'as un briquet et une cuillère ?","Hej, t-ty masz zapalniczkę i łyżkę?"
I'm tryna brew some shit with the leftover paint,Estoy intentando preparar algo con la pintura que sobró.,Я пытаюсь сварить кое-что из оставшейся краски.,Tô tentando fazer umas cervejas com a tinta que sobrou.,"Ich versuche, aus der restlichen Farbe irgendwas zu brauen.",余った塗料で何か作ってみようと思ってるんだ,J'essaie de faire un truc avec les restes de peinture.,Próbuję zrobić coś z resztek farby
Yoooo I'm high as a mothaf*cka.,Yoooo estoy drogado como una perra.,"Йооо, я обкуренный в хрень.","E aí, tô chapado pra caralho.","Yoooo, ich bin so high wie ein Vollidiot.",よぉ、俺はめちゃくちゃハイになってる。,"Yoooo, je suis défoncé comme un putain de gamin.","Yoooo, jestem na haju jak cholera."
this store is wigglin like crazyyy.,Esta tienda se mueve como loca.,Этот магазин трясётся как сумасшедший.,Essa loja está se mexendo feito louca!,Dieser Laden wackelt wie verrückt.,この店はめちゃくちゃ揺れてるよ。,Ce magasin est en train de gigoter comme un fou !,ten sklep kręci się jak szalony.
"My d-dealer asked me if I needed some horse tranquilizers,","Mi distribuidor me preguntó si necesitaba tranquilizantes para caballos,","Мой дилер спросил меня, не нужны ли мне транквилизаторы для лошадей.",Meu traficante me perguntou se eu precisava de tranquilizantes para cavalos.,"Mein Drogendealer fragte mich, ob ich Pferdeberuhigungsmittel bräuchte.",私の麻薬ディーラーは私に馬用の鎮静剤が必要かどうか尋ねました。,Mon dealer m'a demandé si j'avais besoin de tranquillisants pour chevaux.,"Mój diler zapytał mnie, czy potrzebuję środków uspokajających dla koni,"
how dare he offer me something that has caused horsies so much terror for decades.,¿Cómo se atreve a ofrecerme algo que ha causado tanto terror a los caballos durante décadas?,"Как он смеет предлагать мне то, что десятилетиями причиняло лошадям столько ужаса?",Como ele se atreve a me oferecer algo que causou tanto terror aos criadores de cavalos por décadas?,"Wie kann er es wagen, mir etwas anzubieten, das Pferden seit Jahrzehnten so viel Schrecken einjagt?",よくもまあ、何十年にもわたって馬たちに恐怖を与えてきたものを私に差し出そうとしたものだ。,Comment ose-t-il me proposer quelque chose qui a semé la terreur chez les chevaux pendant des décennies ?,"Jak on śmie proponować mi coś, co od dziesięcioleci wywołuje u koni tak wielki strach."
"I told him ""just give me my damn ketamine"" .","Le dije: ""Solo dame mi maldita ketamina"".","Я сказал ему: ""Просто дай мне мой чертов кетамин"".","Eu disse a ele: ""Só me dê minha maldita ketamina"".",Ich sagte ihm: „Gib mir endlich mein verdammtes Ketamin!“,私は彼に「ケタミンをくれよ」と言った。,Je lui ai dit : « Donne-moi juste ma putain de kétamine ».,Powiedziałem mu: „Po prostu daj mi tę cholerną ketaminę”.
"hey baby, you is lookin kinda bare right now","Hola nena, te ves un poco desnuda ahora mismo.","Эй, детка, ты сейчас выглядишь как-то пустовато.","Ei, querida, você está parecendo meio sem graça agora.","Hey Baby, du siehst gerade etwas nackt aus.",ねえベイビー、今の君はちょっと寂しそうに見えるよ,"Hé bébé, tu as l'air un peu nue en ce moment","Hej kochanie, teraz wyglądasz trochę boso"
"well im sellin all the fashion round here, you wanna look gud or nah?","Bueno, yo vendo toda la moda por aquí, ¿quieres verte bien o no?","Ну, я продаю всю модную одежду в округе, хочешь хорошо выглядеть или нет?","Bom, eu vendo todas as roupas da moda por aqui, você quer ficar estiloso ou não?","Also, ich verkaufe hier die ganze Mode, willst du gut aussehen oder nicht?",まあ、この辺りのファッションアイテムは全部売ってるんだけど、かっこよくなりたい？それともそうじゃない？,"Eh bien, je vends toute la mode du coin, tu veux avoir du style ou pas ?","Cóż, sprzedaję całą tutejszą modę, chcesz wyglądać dobrze czy nie?"
mmmmhmm i thought so.,"mmmmhmm, eso pensé.","Мммм, я так и думал.","Hummm, eu imaginei.","Mmmhmm, das dachte ich mir.",うんうん、やっぱりそう思ったよ。,"Mmmhmm, je le pensais aussi.",mmmmhmm tak myślałam.
get cho ass in there baby!,"¡Entra ahí, nena!","Засунь свою задницу туда, детка!","Entra logo aí, querida!","Rein da rein, Baby!",さあ、そこに入って！,"Bouge-toi là-dedans, bébé !","zabieraj tam swój tyłek, kochanie!"
cya baby!,"¡Nos vemos, cariño!","Пока, детка!","Até logo, meu bem!","Bis dann, Baby!",じゃあね、ベイビー！,"À plus, bébé !","Cześć, kochanie!"
fr?,fr?,фр?,fr?,fr?,fr?,fr?,z?
well screw ya then!,¡Pues que te jodan entonces!,Ну и пошли вы тогда к черту!,Então que se dane você!,"Na dann, leck mich doch!",それなら、もう知るか！,"Eh bien, tant pis pour vous alors !",no to w takim razie pieprzyć cię!
whats gud baby u want in?,¿Qué bebé bueno quieres?,Какого хорошего малыша ты хочешь?,"O que você quer, meu bem?","Was ist los, Baby, willst du rein?",どうしたの、ベイビー？ 入ってほしい？,"Qu'est-ce qui est bon bébé, tu veux entrer ?","co tam kochanie, chcesz?"
mmmmhmm,mmmmhmm,ммммхмм,mmmmhmm,mmmmhmm,んんんんん,mmmmhmm,mmmmhmm
have yoself a gud day,Que tengas un buen día,Хорошего вам дня!,Tenha um bom dia!,Hab einen schönen Tag!,良い一日を,Passe une bonne journée,Miłego dnia
well dont leave me hangin!,¡Pues no me dejes con la intriga!,Ну и не оставляй меня в подвешенном состоянии!,Não me deixe na mão!,Lass mich nicht im Regen stehen!,私を待たせないで！,"Eh bien, ne me laissez pas en plan !","no cóż, nie zostawiaj mnie w niepewności!"
f*ck you lookin at? my fits?,¿Qué coño miras? ¿Mis conjuntos?,На что ты смотришь? На мои наряды?,Que porra você tá olhando? Meus looks?,Was glotzt du so? Meine Outfits?,何見てんだよ？俺の服か？,Qu'est-ce que tu regardes ? Mes tenues ?,na co się patrzysz? na moje napady?
damn right,¡Claro que sí!,"черт возьми, да!",Com certeza,Verdammt richtig!,まったくその通りだ,Absolument.,"jasne, że tak"
i know you'll be back,Sé que volverás,"Я знаю, ты вернешься.",Eu sei que você vai voltar.,"Ich weiß, du wirst zurückkommen.",君が戻ってくるって分かってるよ,Je sais que tu reviendras,"wiem, że wrócisz"
don't lie now,No mientas ahora,не лги сейчас,Não minta agora,Lüg jetzt nicht.,嘘をつかないで,Ne mens pas maintenant,nie kłam teraz
watchu need hun?,"¿Qué necesitas, cariño?","Что тебе нужно, дорогая?","O que você precisa, querida?","Was brauchst du, Schatz?",何が必要なの？,"De quoi as-tu besoin, chérie ?","potrzebujesz zegarka, hun?"
thats what i thought,Eso es lo que pensé.,Так я и думал.,Era o que eu pensava.,Das dachte ich auch.,私もそう思った,C'est ce que je pensais,to właśnie myślałem
you know where to find me if you need sum mo,Ya sabes dónde encontrarme si necesitas algo más.,"Вы знаете, где меня найти, если вам что-нибудь понадобится.",Você sabe onde me encontrar se precisar de mais alguma coisa.,"Du weißt, wo du mich findest, falls du mehr brauchst.",もっと何か必要なら、私の居場所は分かってるよね,tu sais où me trouver si tu as besoin de quelque chose de plus,wiesz gdzie mnie znaleźć jeśli potrzebujesz więcej
such a tease,Qué provocador,такая дразнилка,Que provocação!,so eine Verlockung,なんて意地悪なの,Quel taquin !,taka prowokacja
couldn't get enough hm?,"¿No te cansabas de él, eh?","Не могли наесться, да?","Não se cansava, né?","Konnten wohl nicht genug davon bekommen, hm?",物足りなかったの？,"Tu n'en as jamais assez, hein ?","nie mogłeś się nasycić, hm?"
hurry yo *ss up,"date prisa, *culo","поторопись, *задница*",Anda logo com essa bunda!,"Beeil dich, du Arsch!",早くしろよ,"Dépêche-toi, espèce de connard",pospiesz się
"my name aint Brit by the way, it's Wookisha","Por cierto, mi nombre no es Brit, es Wookisha.","Кстати, меня зовут не Брит, а Вукиша.","Aliás, meu nome não é Brit, é Wookisha.","Ich heiße übrigens nicht Brit, sondern Wookisha.",ちなみに私の名前はブリットじゃなくてウーキシャだよ,"Au fait, je ne m'appelle pas Brit, je m'appelle Wookia.","A tak przy okazji, nie mam na imię Brit, tylko Wookisha"
call me.,llámame.,Позвоните мне.,liga para mim.,rufen Sie mich an.,電話してね。,appelez-moi.,zadzwoń do mnie.
"come again, I won't bite","Vuelva pronto, no le morderé.","Приходи ещё, я не кусаюсь","Volte sempre, eu não vou morder.","Komm wieder, ich beiße nicht.",また来て、噛みつかないから,"Reviens, je ne te mordrai pas.","przyjdź ponownie, nie ugryzę"
you here for a fit or did you come to see me?,¿Vienes por un ataque de nervios o has venido a verme?,Вы пришли поучаствовать в приступе или ко мне?,Você está aqui para uma discussão ou veio me ver?,"Bist du wegen einer Anprobe hier oder bist du gekommen, um mich zu sehen?",発作を起こしに来たのか、それとも私に会いに来たのか？,Tu es là pour une crise ou tu es venu me voir ?,"Przyszedłeś na chwilę, czy przyszłaś do mnie?"
consider it your reparations,considéralo tu reparación,считайте это вашей компенсацией.,Considere isso como sua reparação.,Betrachten Sie es als Ihre Wiedergutmachung.,それはあなたの賠償金だと考えてください,Considérez cela comme vos réparations.,uważaj to za swoje zadośćuczynienie
"yeah thats right, walk away","Sí, eso es correcto, aléjate.","Да, всё верно, уходите.","Sim, é isso mesmo, vá embora.","Ja, genau, geh einfach weg.",そうだよ、立ち去れ,"Oui, c'est ça, éloignez-vous","tak, to prawda, odejdź"
it's because I'm a floating pair of lips ain't it?,"Es porque soy un par de labios flotantes, ¿no?","Это потому, что я словно парящие губы, не так ли?","É porque eu sou um par de lábios flutuantes, não é?","Das liegt daran, dass ich ein schwebendes Lippenpaar bin, nicht wahr?",私が浮いている唇だからでしょう？,"C'est parce que je suis une paire de lèvres flottantes, n'est-ce pas ?","bo jestem unoszącą się parą ust, prawda?"
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Dash,Estrellarse,Бросаться,Traço,Bindestrich,ダッシュ,Tiret,Kropla
Double Jump,Salto doble,Двойной прыжок,Salto duplo,Doppelsprung,ダブルジャンプ,Double saut,Podwójny skok
Recall,Recordar,Отзывать,Lembrar,Abrufen,想起,Rappel,Przypomnienie sobie czegoś
Game Paused,Juego en pausa,Игра приостановлена,Jogo pausado,Spiel pausiert,ゲーム一時停止中,Jeu en pause,Gra wstrzymana
Resume,Reanudar,Резюме,Retomar,Wieder aufnehmen,再開する,CV,Wznawiać
Restart,Reiniciar,Перезапуск,Reiniciar,Neustart,再起動,Redémarrage,Uruchom ponownie
Lobby,Vestíbulo,Лобби,Salão,Lobby,ロビー,Hall d'entrée,Lobby
Options,Opciones,Параметры,Opções,Optionen,オプション,Options,Opcje
Quit,Abandonar,Покидать,Desistir,Aufhören,やめる,Quitter,Zrezygnować
Master,Maestro,Владелец,Mestre,Master,マスター,Maître,Gospodarz
Music,Música,Музыка,Música,Musik,音楽,Musique,Muzyka
Sensitivity,Sensibilidad,Чувствительность,Sensibilidade,Empfindlichkeit,感度,Sensibilité,Wrażliwość
Quality: peak performance,Calidad: máximo rendimiento,Качество: максимальная производительность,Qualidade: desempenho máximo,Qualität: Höchstleistung,品質：最高のパフォーマンス,Qualité : performances optimales,Jakość: najwyższa wydajność
Quality: dog water,Calidad: agua para perros,Качество: вода для собак,Qualidade: água para cães,Qualität: Hundewasser,品質: 犬用水,Qualité : eau pour chiens,Jakość: woda dla psów
Quality: real sh*t,Calidad: una auténtica mierda,Качество: настоящее дерьмо,Qualidade: uma verdadeira porcaria.,Qualität: Echter Scheiß,品質：マジでクソ,Qualité : vraiment de la merde,Jakość: prawdziwe gówno
Quality: hot,Calidad: caliente,Качество: горячее,Qualidade: quente,Qualität: heiß,品質: ホット,Qualité : chaud,Jakość: gorąca
Quality: creamy,Calidad: cremosa,Качество: кремовое,Qualidade: cremosa,Qualität: cremig,品質：クリーミー,Qualité : crémeuse,Jakość: kremowa
Fullscreen,Pantalla completa,Полноэкранный,Tela cheia,Vollbild,全画面表示,Plein écran,Pełny ekran
Shortcuts,Atajos,Ярлыки,Atalhos,Abkürzungen,ショートカット,Raccourcis,Skróty
Back,Atrás,Назад,Voltar,Zurück,戻る,Dos,Z powrotem
Credits and Attribution,Créditos y atribución,Указание авторства и благодарности,Créditos e Atribuição,Credits und Quellenangabe,クレジットと帰属表示,Crédits et attribution,Informacje i uznanie autorstwa
Reset item positions,Restablecer posiciones de los elementos,Сбросить положение элементов,Redefinir posições dos itens,Elementpositionen zurücksetzen,アイテムの位置をリセットします,Réinitialiser les positions des éléments,Resetuj pozycje elementów
Language,Idioma,Язык,Linguagem,Sprache,言語,Langue,Język
Tip:,Consejo:,Кончик:,Dica:,Tipp:,ヒント：,Conseil:,Wskazówka:
Player Tip:,Consejo para el jugador:,Совет игроку:,Dica para o jogador:,Spielertipp:,プレイヤーへのヒント：,Conseil aux joueurs :,Wskazówka dla gracza:
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
what is this?,¿qué es esto?,что это?,o que é isso?,was ist das?,これは何ですか？,qu'est-ce que c'est?,co to jest?
is it good?,¿Está bien?,Это хорошо?,É bom?,Ist es gut?,それは良いものですか？,Est-ce bon ?,Czy to jest dobre?
how do i play?,¿Cómo juego?,Как мне играть?,Como eu jogo?,Wie spiele ich?,どうやって遊ぶのですか？,Comment je joue ?,jak grać?
whats in there?,¿Qué hay ahí dentro?,Что там внутри?,O que tem aí dentro?,Was ist da drin?,中身は何ですか？,Qu'est-ce qu'il y a là-dedans ?,co tam jest?
whats this game about?,¿De qué trata este juego?,О чём эта игра?,Sobre o que é este jogo?,Worum geht es in diesem Spiel?,このゲームはどんな内容ですか？,De quoi parle ce jeu ?,o co chodzi w tej grze?
whats a store?,¿Qué es una tienda?,Что такое магазин?,O que é uma loja?,Was ist ein Laden?,お店って何？,Qu'est-ce qu'un magasin ?,co to jest sklep?
nah,no,нет,não,na,いや,non,nie
bye dumb***,adiós idiota***,"пока, тупица***","Tchau, seu idiota!","Tschüss, du Idiot!",さよなら、バカ,"au revoir, abruti***","pa, głupku***"
tell me more,Cuéntame más,расскажите мне подробнее,Conte-me mais,Erzähl mir mehr,もっと詳しく教えてください,Dites-m'en plus,powiedz mi więcej
is that it?,¿Eso es todo?,И это всё?,É só isso?,War's das?,それだけですか？,C'est tout ?,to wszystko?
why are you so fat,¿Por qué estás tan gordo?,Почему ты такой толстый?,Por que você é tão gordo?,Warum bist du so fett?,なんでそんなに太ってるの？,Pourquoi es-tu si gros/grosse ?,dlaczego jesteś taki gruby
you ever use those paintings in there?,¿Alguna vez usaste esos cuadros que hay ahí?,Вы когда-нибудь использовали эти картины там?,Você já usou aquelas pinturas que estavam lá dentro?,Hast du diese Gemälde dort drinnen jemals benutzt?,あなたはあの絵をあそこで使ったことがありますか？,Avez-vous déjà utilisé ces tableaux là-bas ?,Czy kiedykolwiek używałeś tych obrazów?
you're just coping,Simplemente estás sobrellevando la situación,ты просто справляешься,Você está apenas lidando com a situação.,Du kommst einfach damit klar.,あなたはただ対処しているだけです,"tu te débrouilles, c'est tout.",po prostu sobie radzisz
do you think those brushes are real?,¿Crees que esos pinceles son reales?,"Как вы думаете, эти кисти настоящие?",Você acha que esses pincéis são de verdade?,"Glaubst du, diese Pinsel sind echt?",それらのブラシは本物だと思いますか？,Tu crois que ces pinceaux sont authentiques ?,"myślisz, że te pędzle są prawdziwe?"
behindartstore,detrás de la tienda de arte,behindartstore,behindartstore,hinterKunstladen,behindartstore,behindartstore,sklep z artykułami artystycznymi
i dunno,no se,я не знаю,eu não sei,ich weiß nicht,私は知らないよ,je ne sais pas,nie wiem
kinda looks like you,se parece un poco a ti,чем-то похож на тебя.,Parece um pouco com você.,Sieht dir irgendwie ähnlich.,あなたにちょっと似てるね,ça te ressemble un peu,trochę jak ty
whatchu doin at the fat hotel,¿Qué haces en el hotel gordo?,Что ты делаешь в отеле для толстяков?,O que você está fazendo no hotel dos gordos?,Was machst du im fetten Hotel?,太ったホテルで何してるの？,Qu'est-ce que tu fais à l'hôtel Fat ?,Co robisz w tym grubym hotelu?
you live at the fat hotel lol,"Vives en el hotel de los gordos, jajaja","Ты живёшь в отеле для толстяков, лол.","Você mora no hotel dos gordos, rsrs.","Du wohnst im Hotel für Dicke, lol",君は太った人向けのホテルに住んでいるんだよ（笑）,Tu habites à l'hôtel des gros lol,mieszkasz w grubym hotelu lol
i like the fountain,Me gusta la fuente,Мне нравится фонтан.,Eu gosto da fonte.,Ich mag den Brunnen.,噴水が好きです,J'aime la fontaine,podoba mi się fontanna
why are you so mean to me?,¿Por qué eres tan malo conmigo?,Почему ты так плохо ко мне относишься?,Por que você é tão cruel comigo?,Warum bist du so gemein zu mir?,どうしてそんなに私に意地悪なの？,Pourquoi es-tu si méchant avec moi ?,dlaczego jesteś dla mnie taki okrutny?
who made you this way?,¿Quién te hizo así?,Кто сделал тебя таким?,Quem te transformou nisso?,Wer hat dich so gemacht?,誰があなたをこんな風にしたのですか？,Qui t'a rendu ainsi ?,kto cię takim stworzył?
sounds like projecting to me,Me suena a proyección.,Мне это кажется попыткой проецировать свои мысли.,Parece-me que você está projetando seus próprios sentimentos.,Klingt für mich nach Projektion.,私には自分の思い込みのように聞こえる,Ça me fait penser à de la projection.,brzmi dla mnie jak projekcja
you don't know where I live b****,"No sabes dónde vivo, perra.","Ты не знаешь, где я живу, сука!","Você não sabe onde eu moro, sua vadia.","Du weißt nicht, wo ich wohne, Schlampe.",あんたは私がどこに住んでいるか知らないくせに,"Tu ne sais pas où j'habite, salope.","nie wiesz gdzie mieszkam, suko"
but you live there,pero tú vives allí,но ты там живешь,mas você mora lá,Aber du wohnst dort,でもあなたはそこに住んでいる,mais vous habitez là-bas,ale ty tam mieszkasz
what did i ever do to you,¿Qué te he hecho yo?,Что я тебе такого сделал?,O que eu te fiz?,Was habe ich dir jemals getan?,私はあなたに何をしたというのですか？,Qu'est-ce que je t'ai fait ?,co ja ci zrobiłem?
